ID,SMILES
CLC-0000194,O=S(N(CC1=C(C)C=C(C2=CC=CC(S(=O)(CC)=O)=C2)C=C1)[C@@H](CCC)C1=C(C)SC(C)=C1)(C1=CN(C)C=N1)=O
CLC-0000193,O=S(N(CC1=C(C)C=C(C2=CC=CC(S(=O)(C)=O)=C2)C=C1)[C@@H](C)C1=C(C)SC(C)=C1)(C1=CN(C)C=N1)=O
CLC-0000191,O=S(N(CC1=C(C)C=C(C2=CC=CC(S(=O)(CC)=O)=C2)C=C1)[C@@H](CCCC)C1=C(C)SC(C)=C1)(C1=CN(C)C=N1)=O
CLC-0000189,O=S(N(CC1=C(C)C=C(C2=CC=CC(S(=O)(C)=O)=C2)C=C1)[C@@H](CCCC)C1=C(C)SC(C)=C1)(C1=CN(C)C=N1)=O
CLC-0000187,O=S(N(CC1=C(C)C=C(C2=CC=CC(S(=O)(C)=O)=C2)C=C1)[C@@H](CCC)C1=C(C)SC(C)=C1)(C1=CN(C)C=N1)=O
CLC-0000185,O=S(N(CC1=C(C)C=C(C2=CC=CC(S(=O)(CC)=O)=C2)C=C1)[C@@H](CC)C1=C(C)SC(C)=C1)(C1=CN(C)C=N1)=O
CLC-0000183,O=S(N(CC1=C(C)C=C(C2=CC=CC(S(=O)(C)=O)=C2)C=C1)[C@@H](CC)C1=C(C)SC(C)=C1)(C1=CN(C)C=N1)=O
CLC-0000181,O=S(N(CC1=C(C)C=C(C2=CC=CC(S(=O)(CC)=O)=C2)C=C1)[C@@H](C)C1=C(C)SC(C)=C1)(C1=CN(C)C=N1)=O
